Generation: 0
353,294,-200,277,231,198-194,-345,61,-348,286,-288-316,206,345,205,-51,-57230,-37,4,-278,170,26
311,45,-109,-219,72,172-351,-13,-268,264,-76,-17732,306,-338,-305,244,-346-244,-55,-32,225,24,-198
273,-334,-152,92,274,-359-259,-129,-171,235,-242,125202,255,-240,273,122,-300-237,2,-351,-328,-219,-195
67,-318,25,243,56,98-173,-282,-48,260,186,-136-234,57,139,-207,-327,200356,-337,-226,169,230,218
314,330,219,-52,316,167-78,-114,4,-147,-200,-60-337,99,-225,-93,-196,279150,113,-323,-134,-151,241
133,-31,202,273,332,344-231,-197,298,123,-7,297-183,182,-304,257,-174,-223-138,-85,339,71,357,-235
168,77,166,-4,289,346-271,137,49,-359,-153,42-223,253,-267,55,332,-209,-228,278,-68,21,-335
26,-11,-61,228,59,207-13,323,58,176,2,-205-171,61,24,236,106,-307-122,302,-49,118,-220,273
-104,331,188,-300,155,-282172,-158,-350,278,-143,-136336,-97,-354,255,-272,-263-295,-125,82,210,109,-84
-5,73,-204,-263,23,-242162,184,308,-154,-212,-16084,-137,-57,225,-317,-117206,193,-349,-313,192,98
-115,-68,-135,270,276,-342208,-233,5,194,-134,198247,47,228,-27,-146,45193,157,222,-297,-156,-314
-64,0,-223,-297,121,269356,-265,-51,-145,-324,-1262,-312,-226,-166,234,256167,67,-337,-188,-71,253
-227,111,336,-115,196,-12863,-285,-73,0,-179,5237,-309,299,10,200,-12063,-276,151,-324,-210,-225
87,105,-212,-254,219,170-233,63,-37,306,183,-9289,-60,-119,-286,350,47-188,-156,262,-130,242,323
217,-170,209,-275,100,10-8,111,36,-351,150,-89225,59,-217,-241,344,332220,-181,-30,165,43,-99
276,-134,273,7,297,-40-233,113,-173,218,-320,-298-136,18,292,-134,56,-174-134,69,47,270,206,278
-257,-91,-304,-304,113,33480,-33,35,-325,210,263263,-176,60,-92,249,-265122,-262,60,-102,76,-335
-253,-157,-75,-181,25,-66-138,-313,30,17,-53,264196,-163,250,20,103,-117-334,224,186,-353,324,45
-201,45,-8,68,90,-198-193,294,78,358,-20,-5753,-34,23,-316,169,-166-62,74,-304,-4,166,249
-72,-116,-154,-25,217,83-356,-44,-287,-203,-178,-350224,250,-95,-292,-148,-15399,316,230,-298,326,19
-287,-173,271,12,-282,157133,-240,147,-322,265,304105,135,2,141,-173,254-46,-317,-104,-3,-301,-196
-50,-346,-113,43,-160,-296205,-8,183,109,-221,-11038,-156,118,51,-329,190-260,-178,-94,-299,-43,236
75,197,103,146,-33,-96329,-90,93,124,355,-178-54,151,-60,-167,-353,105281,-65,-65,153,20,113
-73,-148,-158,-16,-289,6752,-250,-91,-236,220,-91267,-104,339,48,-81,-105249,-340,357,165,-352,354
-246,226,-307,50,-225,86208,-80,-337,120,17,-13536,290,170,335,126,-344-302,242,-81,-143,-325,-168
-176,-99,-42,147,-168,169183,178,185,10,36,-255274,47,-245,289,348,141-151,-187,-188,324,-235,-295
-271,-267,-160,261,17,238-285,-48,-158,-232,162,-99210,175,-313,-252,230,198350,341,46,15,100,-226
-86,-109,78,-98,12,-59-238,327,-274,30,332,-308148,18,151,325,8,660,-74,-17,108,84,105
218,-52,212,192,303,22655,268,-80,322,-309,285-227,-157,-65,213,-29,-98120,-49,59,291,-31,-148
298,11,250,-206,255,292252,-286,-302,-290,-283,-227-253,-269,-61,303,-215,108209,-211,-60,125,247,-176
125,-29,25,246,212,-180113,-78,-303,172,-126,-166-111,91,314,327,107,-5577,150,-96,-353,227,-61
-349,-50,97,119,245,-57180,308,-84,94,81,-91-255,-8,-112,290,-71,-18189,237,295,293,179,146
-11,88,-144,-74,7,17261,-326,-253,272,286,-170-18,-309,-114,-33,-331,-124330,115,-96,36,326,276
-232,291,175,244,323,251213,306,150,135,316,277-190,-13,-42,19,288,11124,-198,-77,323,144,-225
-184,80,269,-75,43,-62152,-102,-273,-135,220,20-27,105,10,-189,302,-6823,323,-315,-87,298,70
348,-346,186,10,-213,24356,299,-25,28,-5,-262-77,-48,-63,149,-65,69-84,-271,-215,235,119,-221
-160,116,-208,249,-8,-154-84,-282,-69,67,-108,-63231,266,81,85,-131,-25114,-122,-70,-222,-311,-192
239,308,232,114,-181,-341231,-230,249,243,-93,251-96,261,-201,-111,-149,-159161,-226,125,89,-227,154
331,-197,88,353,-98,-78-305,6,8,298,-47,92222,104,270,-208,-326,132168,310,-290,-192,-76,0
184,-161,257,-234,-40,-138-147,-230,317,-84,-188,240-208,-14,-50,82,-100,278-79,-302,207,331,271,-75
3,-319,222,166,-18,-259-155,-235,-356,-300,-194,-164-12,341,-137,214,-317,12429,-105,-275,0,71,-57
291,107,8,-18,-62,225-16,304,-214,-327,-104,-2825,-353,66,222,-98,-1738,-196,349,82,243,-330
307,-334,-26,-96,-262,334-342,-202,36,230,-232,-139-342,323,-81,164,330,-262-342,124,307,-11,160,300
311,169,-263,226,-56,0-95,36,-298,14,-227,-246-133,-165,-297,218,131,-142142,-218,-91,354,-101,0
285,-164,205,-181,-77,148-2,-198,1,195,-54,11575,172,66,15,83,186193,117,-92,-46,259,118
268,-172,293,355,-53,-3280,-240,29,355,-63,107-71,-175,-226,-123,146,7277,69,-79,-207,-144,-288
-143,186,-175,130,-142,166-308,352,33,-236,6,327307,130,194,48,-45,-99-130,-305,148,79,-228,196
57,220,330,220,-216,-312-77,-84,-82,-151,329,234-262,186,127,134,-225,5-260,-314,-20,273,98,-59
216,-295,189,76,-10,183-58,76,25,-57,-354,-1231,-73,-174,255,-1,234-5,-19,335,275,-329,-346
-179,-350,170,-26,-128,-138-106,-221,-62,165,17,31316,40,-325,201,260,308355,359,-295,-7,33,-163
99,-104,-198,-213,-123,-255-61,-251,-74,307,252,-311190,-126,-344,272,-129,37206,-17,177,-154,267,-356
248,300,-67,-214,-98,-177-102,215,-208,-206,189,-98199,-216,-272,-165,-150,-37-16,-92,-250,321,-6,-358
-250,-359,-9,-11,-32,242-351,162,290,141,56,-276235,-56,148,117,270,232-93,-349,-3,227,-269,85
357,252,168,155,-300,249-37,349,-74,-187,325,-32-191,-85,-77,45,76,45201,-202,-85,143,343,-33
113,-92,-148,-346,-184,53-319,27,83,-100,174,-240-247,-70,330,-103,177,54-74,-105,270,-143,155,74
328,240,225,-90,-134,113-130,-348,-136,325,314,-16161,327,245,-195,24,113306,-275,-171,-254,-125,188
218,104,-276,-71,-308,342328,218,-345,195,264,-252106,160,-88,-28,-233,359271,301,-233,-130,81,-283
-249,-260,329,-117,-77,-139317,339,-323,177,172,248-273,255,137,-31,177,-59-313,117,-303,-198,-344,-260
-297,124,-170,265,-325,166320,325,-180,316,207,-303-348,-131,-125,338,326,-8116,180,30,317,-13,32
-178,-328,-137,80,-114,270101,-212,-292,-221,207,285-138,-235,-149,19,87,-3115,317,40,-97,248,-330
46,195,-297,357,-195,157-194,-140,44,305,234,-26974,-87,69,-148,-80,321-63,64,-185,-141,110,-6
40,-209,-256,-161,-146,138-98,138,23,-211,202,33294,199,39,196,-237,304139,73,-37,-81,329,212
-348,-286,164,-4,-176,226160,-56,-346,-179,-326,359-204,177,74,130,-187,-29-150,-350,-261,242,-250,115
-158,316,52,11,-170,14624,-130,345,-232,-126,-197-343,-230,-173,-282,-349,-147281,-179,124,56,202,-50
-154,-323,12,121,-327,2249,-276,322,60,-224,-3-315,187,-146,62,-349,-170-181,77,101,274,185,326
-316,-186,-174,-221,-116,300117,42,41,-30,-91,135-153,140,-348,-28,-305,239-359,24,199,210,-15,61
175,-352,343,-237,127,-216161,135,296,-196,-333,-167-160,-28,-20,-221,-288,351-176,257,353,-348,207,-41
314,-338,-216,-83,-160,-10295,81,335,-157,122,-1483,127,272,69,94,-166-56,334,-287,293,223,332
209,-154,26,333,185,279178,-177,359,33,-340,-252289,-255,319,12,136,-277298,337,-36,-184,-167,-6
191,-269,-265,265,165,-74321,94,264,-202,93,-71-23,-17,290,-215,-304,-137111,-143,75,-157,-15,-8
-116,269,321,216,114,42-240,-350,240,-101,-82,-164-220,191,171,16,-60,-24449,-105,171,301,32,-63
-286,-29,267,-101,6,-171-81,108,6,-164,-77,279-278,358,-280,344,246,-209272,44,87,-80,306,37
-323,206,199,-184,236,155-143,326,-125,-273,-342,341-328,257,135,302,-174,-346-37,-190,-138,-187,-184,-306
-249,-267,-135,4,200,-349-252,72,352,118,-240,-8920,275,24,-125,165,343-83,-345,-255,-204,222,-356
-323,86,300,-279,7,-93-25,177,213,-6,-312,47-93,-124,-232,-217,343,-226-70,-44,151,69,302,-350
-102,-259,225,35,234,158-70,185,-354,196,-148,6-350,-182,-279,-221,294,202-242,-36,294,-343,59,-164
-159,0,-202,-282,72,5-198,-108,-279,339,-303,-330-328,96,132,63,24,-2985,107,-211,97,-24,-109
-235,-328,-247,-324,301,41-55,212,30,117,-73,12-269,276,141,136,43,100-354,-356,176,4,116,-29
-67,293,277,-115,317,-336-123,190,31,-78,140,203-307,20,-150,-31,-39,-249-191,-84,-192,-197,51,-72
94,217,-116,169,20,-262262,206,12,110,-253,-22582,-45,293,-303,53,-309212,222,11,-20,-258,-218
26,202,76,-75,359,122155,108,102,-109,22,183120,113,301,269,-200,-140-218,171,52,359,-33,264
248,-186,-12,-332,182,12134,195,-188,-18,127,44192,156,-256,-31,-339,-296334,326,239,-34,-154,-187
335,-38,238,320,-237,-182306,-228,-27,-197,226,-321159,-312,-104,190,-359,77-147,110,-238,32,-143,-282
142,319,-276,125,-209,-333170,-204,355,-162,138,211205,227,-228,10,-319,246-172,-136,185,-210,-357,262
339,-174,-241,-3,-294,-249356,-20,103,-225,153,-352338,333,-242,-27,-354,-323-319,-12,41,-245,-35,322
-228,-52,-337,-339,154,-289-282,299,-55,-46,198,-53-311,29,-317,334,358,-197-182,113,-195,318,92,-337
-348,-105,-321,112,90,-231-205,349,-118,-221,-280,-287-220,-99,26,-12,-331,-123307,-124,-3,310,180,-245
348,-47,236,167,197,-12743,-251,-246,165,25,20085,-61,-235,-269,145,-75214,-233,-148,33,-38,-192
173,-231,307,192,-218,51198,-222,14,-176,-250,6922,225,-338,206,193,-56-34,-54,-88,-288,103,197
-152,-64,94,-300,-350,80-267,-247,227,-36,-189,205-255,-285,233,-13,207,98-320,-115,-188,-127,-138,3
-170,-323,-280,-258,-20,-80-123,-308,-128,-277,-67,327-233,352,-222,19,-79,-76-215,269,63,336,-148,-322
-298,208,-208,316,-139,-83-36,53,-289,-181,-163,-281-104,248,-100,-213,-41,-214-80,76,-350,-333,-74,172
0,-216,-65,182,-93,13-68,-231,-110,-257,-215,-47-345,155,-318,244,-353,188195,-261,-218,-292,289,151
-149,-226,-7,335,-159,300-118,-166,203,-177,-340,-146-152,192,-228,56,148,-164-69,115,330,156,76,-87
-250,-104,-13,-129,-148,315-51,256,164,-303,-319,-226179,-240,-342,-197,6,106213,-173,-188,14,194,-324
-101,-216,127,297,-324,-185-147,155,-199,-226,298,-173-30,-9,212,-156,-132,187-353,-67,-297,-22,-305,-86
-262,67,247,-305,-239,-287-103,-10,190,193,53,173-309,-310,-331,221,-107,-257178,91,-180,-16,45,-192
-39,-313,224,-134,-59,-215-206,-324,66,206,59,-203-248,-130,-83,-296,-98,263-49,-163,-85,178,284,290
-344,-252,-294,-71,-117,-189-145,337,-209,88,266,235-314,101,-36,-313,302,297-296,-233,155,231,204,179
-133,246,-185,296,-179,-269-105,-288,56,166,33,-105-72,235,91,257,324,-294-104,334,-270,-141,126,-186
Generation: 1
26,-11,-61,228,59,207-356,-44,-287,-203,-178,-350224,250,-95,-292,-148,-153-122,302,-49,118,-220,273
209,-154,26,333,185,279-193,294,78,358,-20,-57289,-255,319,12,136,-277-62,74,-304,-4,166,249
273,-334,-152,92,274,-359-259,-129,-171,235,-242,125-183,182,-304,257,-174,-223-138,-85,339,71,357,-235
133,-31,202,273,332,344-231,-197,298,123,-7,297-183,182,-304,257,-174,-223298,337,-36,-184,-167,-6
168,77,166,-4,289,346-271,137,49,-359,-153,42-104,248,-100,-213,-41,-214-80,76,-350,-333,-74,172
133,-31,202,273,332,344-231,-197,298,123,-7,297-223,253,-267,55,332,-20-138,-85,339,71,357,-235
168,77,166,-4,289,346-271,137,49,-359,-153,42-223,253,-267,55,332,-2099,316,230,-298,326,19
168,77,166,-4,289,346-271,137,49,-359,-153,42-223,253,-267,55,332,-20193,117,-92,-46,259,118
209,-154,26,333,185,279-233,63,-37,306,183,-92289,-255,319,12,136,-277-188,-156,262,-130,242,323
168,77,166,-4,289,346-61,-251,-74,307,252,-311190,-126,-344,272,-129,37206,-17,177,-154,267,-356
-102,-259,225,35,234,158172,-158,-350,278,-143,-136336,-97,-354,255,-272,-263-242,-36,294,-343,59,-164
-227,111,336,-115,196,-12863,-285,-73,0,-179,52231,-73,-174,255,-1,23463,-276,151,-324,-210,-225
-253,-157,-75,-181,25,-66205,-8,183,109,-221,-110196,-163,250,20,103,-117-334,224,186,-353,324,45
87,105,-212,-254,219,170-233,63,-37,306,183,-92316,40,-325,201,260,308355,359,-295,-7,33,-163
-72,-116,-154,-25,217,83208,-80,-337,120,17,-13536,290,170,335,126,-34499,316,230,-298,326,19
217,-170,209,-275,100,10-8,111,36,-351,150,-89225,59,-217,-241,344,332230,-37,4,-278,170,26
-323,206,199,-184,236,155-143,326,-125,-273,-342,341294,199,39,196,-237,304-37,-190,-138,-187,-184,-306
-5,73,-204,-263,23,-242-259,-129,-171,235,-242,125202,255,-240,273,122,-300-237,2,-351,-328,-219,-195
-64,0,-223,-297,121,269-231,-197,298,123,-7,297262,-312,-226,-166,234,256-138,-85,339,71,357,-235
-11,88,-144,-74,7,172-2,-198,1,195,-54,11575,172,66,15,83,186193,117,-92,-46,259,118
-5,73,-204,-263,23,-242-193,294,78,358,-20,-5784,-137,-57,225,-317,-117-62,74,-304,-4,166,249
-154,-323,12,121,-327,2249,-276,322,60,-224,-3247,47,228,-27,-146,45-181,77,101,274,185,326
-154,-323,12,121,-327,224198,-222,14,-176,-250,6922,225,-338,206,193,-56-181,77,101,274,185,326
-50,-346,-113,43,-160,-296205,-8,183,109,-221,-110294,199,39,196,-237,304139,73,-37,-81,329,212
-50,-346,-113,43,-160,-296205,-8,183,109,-221,-110-183,182,-304,257,-174,-223-260,-178,-94,-299,-43,236
-246,226,-307,50,-225,86208,-80,-337,120,17,-13538,-156,118,51,-329,190-260,-178,-94,-299,-43,236
-249,-260,329,-117,-77,-139356,-265,-51,-145,-324,-1262,-312,-226,-166,234,256-313,117,-303,-198,-344,-260
-316,-186,-174,-221,-116,300117,42,41,-30,-91,135289,-255,319,12,136,-277-359,24,199,210,-15,61
-246,226,-307,50,-225,86208,-80,-337,120,17,-13536,290,170,335,126,-344-302,242,-81,-143,-325,-168
-104,331,188,-300,155,-282-8,111,36,-351,150,-89336,-97,-354,255,-272,-263220,-181,-30,165,43,-99
-250,-359,-9,-11,-32,242329,-90,93,124,355,-178235,-56,148,117,270,232-93,-349,-3,227,-269,85
-86,-109,78,-98,12,-59-238,327,-274,30,332,-308307,130,194,48,-45,-99-130,-305,148,79,-228,196
-271,-267,-160,261,17,238-285,-48,-158,-232,162,-99210,175,-313,-252,230,198-313,117,-303,-198,-344,-260
175,-352,343,-237,127,-216208,-233,5,194,-134,198-160,-28,-20,-221,-288,351193,157,222,-297,-156,-314
218,-52,212,192,303,226231,-230,249,243,-93,251-227,-157,-65,213,-29,-98161,-226,125,89,-227,154
-349,-50,97,119,245,-57180,308,-84,94,81,-91-255,-8,-112,290,-71,-181272,44,87,-80,306,37
-201,45,-8,68,90,-198180,308,-84,94,81,-91-255,-8,-112,290,-71,-18189,237,295,293,179,146
-184,80,269,-75,43,-62152,-102,-273,-135,220,20-27,105,10,-189,302,-6823,323,-315,-87,298,70
75,197,103,146,-33,-96329,-90,93,124,355,-178-152,192,-228,56,148,-164-69,115,330,156,76,-87
