Generation: 0
262.987,-233.369,-331.599,234.325,323.547,-201.362;-260.471,114.85,272.839,306.695,321.479,-126.77;-328.083,272.962,120.836,213.825,-242.528,-320.28;-219.307,-287.965,209.187,-299.958,304.09,-190.97;
170.453,184.556,-258.451,264.306,260.14,-247.904;-231.075,-197.538,290.047,-349.528,-18.0866,-22.1689;344.659,-354.456,-138.904,-245.896,-106.746,-325.941;50.7948,-99.8445,-243.912,-67.4523,-149.306,-280.088;
291.881,-3.42197,-57.5162,-311.157,148.331,-233.913;-327.28,240.95,84.2461,214.791,-16.337,155.584;79.4693,242.295,192.459,268.996,77.9372,111.119;-46.8478,-252.819,-82.3959,-194.038,-159.701,33.2163;
253.943,-257.961,150.539,-186.625,251.239,15.8645;-132.922,275.732,-98.2538,281.85,-61.9623,53.8206;154.26,160.588,272.711,261.449,288.757,-359.364;253.782,161.369,-324.225,-357.598,322.297,-306.189;
22.1727,19.8979,198.453,312.646,38.958,249.791;-215.877,348.52,256.288,148.063,-165.517,-33.0559;274.227,-110.217,245.727,345.527,32.6345,-194.402;-287.117,13.5529,-237.421,-342.577,46.9961,249.38;
179.035,-258.487,-94.9525,-166.368,59.683,-347.537;-62.0074,-0.265778,-122.924,-347.85,-275.202,-49.5319;176.812,-252.354,356.165,275.686,-132.241,33.0134;206.563,207.055,-299.018,-332.614,-173.969,324.442;
78.7343,-56.9225,-318.762,-22.5692,55.4106,-136.456;-215.264,-173.269,-343.875,19.7228,83.5419,121.51;90.7093,-45.6265,238.36,-142.224,-88.6422,-153.729;-77.8773,102.98,57.3944,-315.538,-228.548,337.234;
306.553,32.5578,81.8585,-48.7953,278.987,-227.939;-109.89,-324.906,-195.196,192.314,-301.579,-319.468;-349.544,70.5057,-66.5858,-356.242,249.08,-345.04;49.9517,341.106,-335.423,-55.8709,-58.5471,-96.6812;
329.518,-11.4283,226.653,174.619,242.857,92.0621;-255.267,91.4937,36.4183,263.487,-250.731,158.07;-76.7758,-141.6,2.39322,-40.3458,-22.8612,111.927;-295.247,-218.652,-182.624,217.585,357.697,282.115;
-289.699,342.342,226.889,99.4139,238.78,356.561;281.063,322.482,-350.042,19.3169,284.755,-79.8571;-6.49078,11.4467,-24.7561,335.313,7.71408,78.4616;-254.73,279.896,-95.2161,195.679,-113.293,173.584;
310.018,-165.274,7.67438,-167.53,341.465,-325.565;-105.929,281.375,-59.3833,303.508,107.055,-41.6239;-358.11,-99.2185,-244.505,270.165,128.077,331.366;56.116,301.621,265.32,-172.271,-202.796,-194.142;
7.98587,97.004,337.422,-237.468,61.1024,329.397;-278.003,106.233,-85.9417,25.7509,320.921,82.9592;111.245,-104.74,-302.519,-345.56,-192.174,275.978;212.436,71.3264,115.884,-157.957,275.67,59.5313;
-98.1586,-232.113,-168.537,-212.032,48.2699,-217.881;344.113,36.9155,-307.687,-151.908,-61.4707,32.5609;243.132,-274.16,-119.666,-323.366,-7.74506,-2.5433;-320.725,102.197,-110.178,345.108,-75.9465,-88.3177;
-73.1647,238.472,-349.151,-69.8382,70.471,94.1988;208.819,244.969,-331.335,2.57346,-330.113,311.164;227.849,332.243,126.266,-112.674,-150.444,228.4;242.755,-351.126,-206.955,-287.534,236.731,149.859;
-242.701,20.6055,-63.8252,-240.32,161.07,229.332;358.912,63.826,320.711,-270.479,-304.882,-285.307;280.068,-278.189,157.091,-266.336,-6.79108,-119.413;-116.591,172.345,189.537,202.607,330.937,-105.589;
-70.4138,-73.6729,-12.6068,12.0577,296.306,120.788;72.1028,-213.121,-26.8802,-214.906,-175.195,166.594;251.079,40.8452,-197.295,336.2,20.2979,-106.204;-38.1129,-317.257,173.749,32.1512,291.716,184.929;
-80.6915,-63.7593,-304.614,-353.212,301.994,248.277;12.6796,-301.603,-211.845,274.736,-194.503,151.428;302.718,230.995,-54.4556,-96.5364,131.942,-220.33;-250.851,19.001,68.2229,75.2035,228.397,-11.6578;
-23.4698,193.156,115.487,-159.688,58.4387,-219.525;346.848,257.028,-94.3497,-155.554,226.4,-252.523;291.53,-111.977,120.835,-53.2807,-262.173,-128.019;-182.13,-172.852,-275.737,116.191,340.543,-104.656;
-210.611,-140.608,229.433,96.8793,75.7233,227.189;328.49,-258.124,-181.065,37.9847,-191.016,100.752;142.646,125.262,72.0029,104.768,213.112,158.85;-135.275,70.9228,-183.578,-323.02,-150.66,-333.121;
